Leak Type,Count,Percent
Total API Requests,1118,100%
Field Leak: rolloutToken,82,7.33%
Field Leak: deviceModel,83,7.42%
Field Leak: deviceMake,83,7.42%
Field Leak: osVersion,83,7.42%
Field Leak: screenDensityFloat,82,7.33%
Field Leak: tz,656,58.68%
UUID Leaks,14,1.25%
Email Leaks,20,1.79%
Field Leak: connectionType,51,4.56%
Field Leak: timeZone,51,4.56%
Field Leak: utcOffset,50,4.47%
Field Leak: x-goog-visitor-id,458,40.97%
Tracker Requests,116,10.38%
Tracker: doubleclick.net,16,1.43%
Tracker: googleads.g.doubleclick.net,13,1.16%
Tracker: static.doubleclick.net,1,0.09%
Tracker: yt3.ggpht.com,85,7.60%
Tracker: pagead2.googlesyndication.com,15,1.34%
Tracker: ad.doubleclick.net,2,0.18%
